data,mes_id,ano,mes,mes_nome,trimestre
2024-01-01,202401,2024,1,Jan/24,T1/2024
2024-02-01,202402,2024,2,Feb/24,T1/2024
2024-03-01,202403,2024,3,Mar/24,T1/2024
2024-04-01,202404,2024,4,Apr/24,T2/2024
2024-05-01,202405,2024,5,May/24,T2/2024
2024-06-01,202406,2024,6,Jun/24,T2/2024
2024-07-01,202407,2024,7,Jul/24,T3/2024
2024-08-01,202408,2024,8,Aug/24,T3/2024
2024-09-01,202409,2024,9,Sep/24,T3/2024
2024-10-01,202410,2024,10,Oct/24,T4/2024
2024-11-01,202411,2024,11,Nov/24,T4/2024
2024-12-01,202412,2024,12,Dec/24,T4/2024
2025-01-01,202501,2025,1,Jan/25,T1/2025
2025-02-01,202502,2025,2,Feb/25,T1/2025
2025-03-01,202503,2025,3,Mar/25,T1/2025
2025-04-01,202504,2025,4,Apr/25,T2/2025
2025-05-01,202505,2025,5,May/25,T2/2025
2025-06-01,202506,2025,6,Jun/25,T2/2025
2025-07-01,202507,2025,7,Jul/25,T3/2025
2025-08-01,202508,2025,8,Aug/25,T3/2025
2025-09-01,202509,2025,9,Sep/25,T3/2025
2025-10-01,202510,2025,10,Oct/25,T4/2025
2025-11-01,202511,2025,11,Nov/25,T4/2025
2025-12-01,202512,2025,12,Dec/25,T4/2025
