mes_id,empresa_id,plano_id,categoria_id,faixa_id,custo,qtd
202401,E01,P1,C1,F1,2177.56,10
202401,E01,P1,C2,F1,3484.09,21
202401,E01,P1,C3,F1,2177.56,14
202401,E01,P1,C4,F1,9799.01,1
202401,E01,P1,C5,F1,2613.07,5
202401,E01,P1,C6,F1,1524.29,7
202401,E01,P1,C1,F2,3318.18,16
202401,E01,P1,C2,F2,5309.09,33
202401,E01,P1,C3,F2,3318.18,22
202401,E01,P1,C4,F2,14931.82,1
202401,E01,P1,C5,F2,3981.82,7
202401,E01,P1,C6,F2,2322.73,10
202401,E01,P1,C1,F3,4493.37,25
202401,E01,P1,C2,F3,7189.4,43
202401,E01,P1,C3,F3,4493.37,32
202401,E01,P1,C4,F3,20220.18,2
202401,E01,P1,C5,F3,5392.05,9
202401,E01,P1,C6,F3,3145.36,15
202401,E01,P1,C1,F4,5530.3,28
202401,E01,P1,C2,F4,8848.49,56
202401,E01,P1,C3,F4,5530.3,39
202401,E01,P1,C4,F4,24886.37,3
202401,E01,P1,C5,F4,6636.37,12
202401,E01,P1,C6,F4,3871.21,18
202401,E01,P1,C1,F5,5806.82,32
202401,E01,P1,C2,F5,9290.91,55
202401,E01,P1,C3,F5,5806.82,41
202401,E01,P1,C4,F5,26130.69,3
202401,E01,P1,C5,F5,6968.18,13
202401,E01,P1,C6,F5,4064.77,18
202401,E01,P2,C1,F1,1940.95,9
202401,E01,P2,C2,F1,3105.53,19
202401,E01,P2,C3,F1,1940.95,14
202401,E01,P2,C4,F1,8734.3,1
202401,E01,P2,C5,F1,2329.15,4
202401,E01,P2,C6,F1,1358.67,6
202401,E01,P2,C1,F2,2957.65,14
202401,E01,P2,C2,F2,4732.23,30
202401,E01,P2,C3,F2,2957.65,20
202401,E01,P2,C4,F2,13309.4,1
202401,E01,P2,C5,F2,3549.17,7
202401,E01,P2,C6,F2,2070.35,9
202401,E01,P2,C1,F3,4005.14,21
202401,E01,P2,C2,F3,6408.23,38
202401,E01,P2,C3,F3,4005.14,26
202401,E01,P2,C4,F3,18023.15,2
202401,E01,P2,C5,F3,4806.17,10
202401,E01,P2,C6,F3,2803.6,13
202401,E01,P2,C1,F4,4929.41,26
202401,E01,P2,C2,F4,7887.05,49
202401,E01,P2,C3,F4,4929.41,35
202401,E01,P2,C4,F4,22182.34,3
202401,E01,P2,C5,F4,5915.29,12
202401,E01,P2,C6,F4,3450.59,15
202401,E01,P2,C1,F5,5175.88,25
202401,E01,P2,C2,F5,8281.41,49
202401,E01,P2,C3,F5,5175.88,34
202401,E01,P2,C4,F5,23291.46,3
202401,E01,P2,C5,F5,6211.05,12
202401,E01,P2,C6,F5,3623.12,16
202401,E01,P3,C1,F1,1564.0,7
202401,E01,P3,C2,F1,2502.41,15
202401,E01,P3,C3,F1,1564.0,11
202401,E01,P3,C4,F1,7038.02,0
202401,E01,P3,C5,F1,1876.81,3
202401,E01,P3,C6,F1,1094.8,4
202401,E01,P3,C1,F2,2383.24,13
202401,E01,P3,C2,F2,3813.19,22
202401,E01,P3,C3,F2,2383.24,16
202401,E01,P3,C4,F2,10724.6,1
202401,E01,P3,C5,F2,2859.89,5
202401,E01,P3,C6,F2,1668.27,8
202401,E01,P3,C1,F3,3227.31,17
202401,E01,P3,C2,F3,5163.7,31
202401,E01,P3,C3,F3,3227.31,22
202401,E01,P3,C4,F3,14522.9,1
202401,E01,P3,C5,F3,3872.77,7
202401,E01,P3,C6,F3,2259.12,10
202401,E01,P3,C1,F4,3972.07,20
202401,E01,P3,C2,F4,6355.32,39
202401,E01,P3,C3,F4,3972.07,26
202401,E01,P3,C4,F4,17874.34,2
202401,E01,P3,C5,F4,4766.49,9
202401,E01,P3,C6,F4,2780.45,14
202401,E01,P3,C1,F5,4170.68,23
202401,E01,P3,C2,F5,6673.09,41
202401,E01,P3,C3,F5,4170.68,28
202401,E01,P3,C4,F5,18768.05,2
202401,E01,P3,C5,F5,5004.81,9
202401,E01,P3,C6,F5,2919.47,13
202402,E01,P1,C1,F1,2081.82,10
202402,E01,P1,C2,F1,3330.91,19
202402,E01,P1,C3,F1,2081.82,15
202402,E01,P1,C4,F1,9368.18,1
202402,E01,P1,C5,F1,2498.18,4
202402,E01,P1,C6,F1,1457.27,6
202402,E01,P1,C1,F2,3172.29,16
202402,E01,P1,C2,F2,5075.67,30
202402,E01,P1,C3,F2,3172.29,22
202402,E01,P1,C4,F2,14275.33,1
202402,E01,P1,C5,F2,3806.75,7
202402,E01,P1,C6,F2,2220.61,10
